prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
41991284,D0502,亚洲中高纬区极端气候的归因与预估,姜大膀,中国科学院大气物理研究所,376.4,2020-01至2024-12
41991251,D0209,人类世的历史背景,黄小忠,兰州大学,448,2020-01至2024-12
51991393,E0905,不良地质段跨海隧道的地震破坏机理与抗震韧性设计方法,黄襄云,广州大学,380,2020-01至2024-12
31991181,C1502,番茄品质和抗性的多组学研究与关键基因发掘,黄三文,中国农业科学院农业基因组研究所,400,2020-01至2024-12
31991180,C1502,优质番茄的分子基础与基因组设计,黄三文,中国农业科学院农业基因组研究所,1990,2020-01至2024-12
41991231,D010103,干旱半干旱地区气候变化及其水循环效应,黄建平,兰州大学,370.5,2020-01至2024-12
61991423,F0112,SAR图像视觉三维认知理论与方法,胡占义,中国科学院自动化研究所,540,2020-01至2024-12
51991352,E03,受限空间典型高分子材料燃烧行为和机理的研究,胡源,中国科学技术大学,296.5,2020-01至2024-12
11991033,A0203,力学超材料动态均匀化方法和波动力学,胡更开,北京理工大学,511,2020-01至2024-12
11991030,A0203,力学超材料/结构波动能量输运与调控,胡更开,北京理工大学,1960,2020-01至2024-12
81991523,H3005,海洋药源分子的作用机制与靶点发现,胡刚,南京中医药大学,350,2020-01至2024-12
71991483,G0412,新时代矿产资源开发与生态环境保护协调发展的理论与实证研究,胡东滨,中南大学,285,2020-01至2024-12
81991495,H10,保护性体液免疫形成及维持机制,侯百东,中国科学院生物物理研究所,344.5,2020-01至2024-12
11991052,A0302,大质量黑洞形成与宇宙学演化,何子山,北京大学,540,2020-01至2024-12
41991253,D0209,人类世界线层型剖面,韩永明,中国科学院地球环境研究所,696.3,2020-01至2024-12
41991250,D0209,地质新时代的人类世：时限、特征与影响,韩永明,中国科学院地球环境研究所,1986.7,2020-01至2024-12
31991171,C0802,基于单细胞测序的多癌种肿瘤微环境免疫细胞的比较分析,韩为东,中国人民解放军总医院,499,2020-01至2024-12
31991212,C060102,异源多倍体小麦核型稳定的遗传机制,韩方普,中国科学院遗传与发育生物学研究所,337,2020-01至2024-12
81991521,H3005,环境胁迫海洋生物产生的新药源分子研究,郭跃伟,中国科学院上海药物研究所,350,2020-01至2024-12
11991022,A011202,组合优化的人工智能求解方法及其应用,郭田德,中国科学院大学,467,2020-01至2024-12
71991473,G0303,现代网络生态环境下金融大数据建模研究,龚朴,华中科技大学,291,2020-01至2024-12
41991235,D010504,变化环境下的生态系统服务与生态安全,傅伯杰,北京师范大学,470,2020-01至2024-12
41991230,D010107,干旱半干旱地区生态-水文过程及其对生态系统服务功能的影响,傅伯杰,北京师范大学,1959.4,2020-01至2024-12
21991141,B050106,“是球-非球”策略定向设计合成多极轴分子铁电体,付大伟,浙江师范大学,480.2,2020-01至2024-12
